"journal","all","db","program","other"
"In Silico Pharmacol",1,0,1,0
"Tremor Other Hyperkinet Mov (N Y)",1,0,0,1
"J Addict Nurs",1,0,0,1
"Acad Med",1,0,0,1
"Clinics (Sao Paulo)",1,0,0,1
"Ter Arkh",1,0,1,0
"Evid Based Dent",1,1,0,0
"Am J Respir Crit Care Med",1,0,0,1
"J Basic Clin Pharm",1,0,0,1
"Transfus Med Hemother",1,0,1,0
"Prev Chronic Dis",2,0,0,2
"Ann Biomed Eng",1,0,1,0
"Ecol Evol",1,1,0,0
"Optom Vis Sci",1,0,1,0
"Eur Radiol",1,0,1,0
"Virology",1,0,0,1
"Genet Res (Camb)",2,0,1,1
"Sci Transl Med",1,0,0,1
"Swiss Dent J",1,0,0,1
"Cancer Genet",2,0,1,1
"Cancer Med",1,0,1,0
"J Integr Med",1,0,1,0
"IUCrJ",1,0,1,0
"Nucl Med Rev Cent East Eur",1,0,1,0
"Glob Chang Biol",1,0,1,0
"Methods Cell Biol",1,0,1,0
"J Vasc Interv Radiol",1,0,0,1
"Int J Environ Res Public Health",1,0,0,1
"Nanotechnology",1,0,1,0
"Swiss Med Wkly",1,0,0,1
"Med Glas (Zenica)",1,0,0,1
"Molecules",1,0,0,1
"Cutis",1,0,0,1
"Female Pelvic Med Reconstr Surg",1,0,0,1
"Eur J Nucl Med Mol Imaging",1,0,0,1
"Clin Chim Acta",1,1,0,0
"Viruses",1,0,0,1
"Quant Imaging Med Surg",1,0,0,1
"Am J Cardiol",1,0,0,1
"Epigenetics Chromatin",1,0,0,1
"Jpn J Infect Dis",2,0,0,2
"Immunol Rev",1,0,0,1
"Environ Technol",1,0,1,0
"Prilozi",2,0,0,2
"Nat Commun",2,1,1,0
"Clin Nephrol",1,0,0,1
"Neuropsychologia",1,0,1,0
"Dtsch Med Wochenschr",1,0,0,1
"JMIR Serious Games",1,0,0,1
"Pract Radiat Oncol",1,0,1,0
"J Clin Exp Hepatol",1,0,0,1
"Dermatol Online J",2,0,0,2
"Biofouling",1,1,0,0
"Biomed Khim",1,0,1,0
"Electron Physician",1,1,0,0
"Colomb Med (Cali)",1,1,0,0
"Radiat Res",1,0,0,1
"Health Informatics J",1,1,0,0
"J Invest Dermatol",1,0,0,1
"Med Mycol",2,2,0,0
"Iran J Microbiol",1,0,0,1
"J Neurophysiol",1,1,0,0
"Rev Sci Tech",1,0,1,0
"Biomed Mater Eng",1,0,0,1
"J Exerc Rehabil",1,0,1,0
"J Dent",1,0,0,1
"Ann Chir Plast Esthet",1,0,0,1
"Arthroscopy",1,0,0,1
"J Hosp Med",1,0,0,1
"Curr Oncol",1,0,0,1
"Front Aging Neurosci",1,0,1,0
"Clin Kidney J",1,0,0,1
"Clin Nurse Spec",1,0,1,0
"Genome Announc",1,0,0,1
"Neurosci Lett",1,0,1,0
"J Exp Zool B Mol Dev Evol",1,1,0,0
"Mov Ecol",1,0,0,1
"BMC Dev Biol",1,0,1,0
"Curr Opin Anaesthesiol",1,0,0,1
"Meta Gene",1,0,0,1
"Facts Views Vis Obgyn",1,0,1,0
"J Pers Med",1,0,0,1
"Front Neuroeng",1,0,1,0
"Zhonghua Yi Xue Za Zhi",1,0,0,1
"Nanotoxicology",1,0,0,1
"CNS Neurol Disord Drug Targets",1,0,0,1
"Ann Pharm Fr",1,0,1,0
"Alcohol Clin Exp Res",1,0,0,1
"Drug Des Devel Ther",1,1,0,0
"London J Prim Care (Abingdon)",1,0,0,1
"Paediatr Drugs",1,1,0,0
"Microb Ecol Health Dis",1,0,0,1
"Scand J Gastroenterol",1,0,0,1
"BMJ Support Palliat Care",11,0,5,6
"Health Qual Life Outcomes",1,0,1,0
"Am Heart J",1,0,0,1
"J Acoust Soc Am",1,0,0,1
"Cas Lek Cesk",1,0,0,1
"J BUON",1,1,0,0
"Sci Data",1,1,0,0
"Int J Phytoremediation",1,1,0,0
"J Miss State Med Assoc",1,0,0,1
"Curr Protoc Cell Biol",1,0,1,0
"Clin Transl Med",1,0,1,0
"Metabolites",1,0,1,0
"Stem Cell Reports",1,0,1,0
